"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:43:55:208","68344529073740","   0.000","  29.226"," 2483"," 1200"," 3100"," 2497","   6.314","   0.639","   0.177","   4.777","   0.483","   0.134"," 60","0"," 57"," 64","   1.125","   0.114","   0.032","  28.000","  500","    0"
"13:43:55:308","68344799480619","   0.100","  25.822"," 2151"," 1200"," 3100"," 2155","   5.065","   1.146","   0.318","   3.601","   0.844","   0.234"," 64","0"," 57"," 64","   0.992","   0.213","   0.059","  28.000","  500","    0"
"13:43:55:408","68345069554449","   0.200","  27.549"," 2241"," 1200"," 3100"," 2273","   6.315","   1.778","   0.494","   4.406","   1.284","   0.357"," 59","0"," 58"," 64","   1.180","   0.331","   0.092","  28.000","  850","    0"
"13:43:55:509","68345342648664","   0.301","  23.360"," 1669"," 1200"," 2800"," 1663","   3.245","   2.106","   0.585","   1.851","   1.472","   0.409"," 58","0"," 58"," 59","   0.812","   0.413","   0.115","  28.000","  850","    0"
"13:43:55:610","68345612720613","   0.401","  28.324"," 1979"," 1200"," 2800"," 1991","   4.197","   2.526","   0.702","   2.801","   1.752","   0.487"," 59","0"," 57"," 61","   0.910","   0.504","   0.140","  28.000","  850","    0"
"13:43:55:711","68345885793138","   0.502","  24.667"," 1764"," 1200"," 2800"," 1767","   3.644","   2.894","   0.804","   2.202","   1.975","   0.549"," 58","0"," 57"," 60","   0.840","   0.589","   0.164","  28.000","  850","    0"
"13:43:55:811","68346155889555","   0.603","  23.054"," 2041"," 1200"," 2800"," 2063","   3.938","   3.288","   0.913","   2.544","   2.229","   0.619"," 59","0"," 57"," 60","   0.855","   0.675","   0.187","  28.000","  850","    0"
"13:43:55:912","68346428935869","   0.704","  25.092"," 1655"," 1200"," 2800"," 1654","   3.263","   3.618","   1.005","   1.881","   2.419","   0.672"," 59","0"," 57"," 59","   0.827","   0.758","   0.211","  28.000","  850","    0"
"13:43:56:012","68346699266424","   0.804","  22.445"," 1932"," 1300"," 2800"," 1934","   3.742","   3.993","   1.109","   2.344","   2.654","   0.737"," 58","0"," 57"," 60","   0.841","   0.843","   0.234","  28.000","  850","    0"
"13:43:56:112","68346969793182","   0.904","  25.502"," 1788"," 1200"," 2800"," 1795","   3.599","   4.354","   1.209","   2.195","   2.874","   0.798"," 58","0"," 57"," 59","   0.847","   0.928","   0.258","  28.000","  850","    0"
"13:43:56:213","68347242857995","   1.005","  27.863"," 2177"," 1200"," 3100"," 2188","   5.599","   4.920","   1.367","   3.932","   3.272","   0.909"," 59","0"," 57"," 63","   1.074","   1.036","   0.288","  28.000","  850","    0"
"13:43:56:313","68347513309974","   1.105","  25.664"," 2181"," 1200"," 3100"," 2199","   5.270","   5.448","   1.513","   3.741","   3.646","   1.013"," 62","0"," 57"," 64","   1.047","   1.141","   0.317","  28.000","  850","  850"
"13:43:56:414","68347785930228","   1.206","   9.898"," 1672"," 1200"," 3100"," 1668","   3.567","   5.808","   1.613","   1.331","   3.781","   1.050"," 58","0"," 57"," 62","   0.793","   1.221","   0.339","  28.000","  850","    0"
"13:43:56:515","68348056361833","   1.306","  13.672"," 1795"," 1200"," 2800"," 1807","   2.095","   6.018","   1.672","   1.002","   3.881","   1.078"," 61","0"," 57"," 61","   0.610","   1.282","   0.356","  28.000","  850","    0"
"13:43:56:616","68348329316256","   1.408","  49.932"," 2664"," 1400"," 3100"," 2681","  11.132","   7.143","   1.984","   8.850","   4.776","   1.327"," 60","0"," 59"," 65","   1.726","   1.457","   0.405","  28.000","  500","    0"
"13:43:56:717","68348602357038","   1.509","  22.184"," 1980"," 1200"," 2800"," 1976","   4.926","   7.641","   2.123","   2.841","   5.063","   1.406"," 58","0"," 58"," 64","   0.948","   1.553","   0.431","  28.000","  500","    0"
"13:43:56:818","68348875400394","   1.610","   6.770"," 1381"," 1200"," 1700"," 1381","   1.895","   7.833","   2.176","   0.459","   5.110","   1.419"," 58","0"," 57"," 59","   0.530","   1.606","   0.446","  28.000","  500","    0"
"13:43:56:919","68349148435982","   1.711","   4.297"," 1336"," 1200"," 1700"," 1336","   1.183","   7.952","   2.209","   0.261","   5.136","   1.427"," 58","0"," 57"," 58","   0.502","   1.657","   0.460","  28.000","  500","    0"
"13:43:57:019","68349418892339","   1.811","   4.873"," 1328"," 1200"," 1700"," 1335","   1.238","   8.076","   2.243","   0.328","   5.169","   1.436"," 58","0"," 56"," 58","   0.506","   1.708","   0.474","  28.000","  500","    0"
"13:43:57:119","68349689127453","   1.911","   8.226"," 1517"," 1200"," 2800"," 1519","   1.677","   8.244","   2.290","   0.674","   5.236","   1.455"," 57","0"," 57"," 59","   0.535","   1.761","   0.489","  28.000","  500","    0"
"13:43:57:219","68349959476950","   2.011","   5.813"," 1329"," 1200"," 1700"," 1329","   1.300","   8.374","   2.326","   0.358","   5.272","   1.465"," 58","0"," 56"," 58","   0.514","   1.813","   0.504","  28.000","  500","    0"
"13:43:57:319","68350229524821","   2.111","  38.498"," 2888"," 1200"," 3100"," 2912","  10.894","   9.464","   2.629","   9.123","   6.185","   1.718"," 65","0"," 57"," 67","   1.501","   1.963","   0.545","  28.000","  850","  850"
