"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:29:19:778","65980907264904","   0.000","  32.022"," 2428"," 1200"," 3100"," 2454","   6.405","   0.648","   0.180","   4.872","   0.493","   0.137"," 59","0"," 57"," 63","   1.148","   0.116","   0.032","  28.000","  500","    0"
"13:29:19:878","65981177459871","   0.100","  25.593"," 1782"," 1200"," 2800"," 1786","   3.472","   0.995","   0.277","   2.099","   0.703","   0.195"," 58","0"," 57"," 60","   0.850","   0.201","   0.056","  28.000","  500","    0"
"13:29:19:979","65981450482299","   0.201","  25.327"," 1941"," 1200"," 2800"," 1949","   4.039","   1.404","   0.390","   2.615","   0.967","   0.269"," 58","0"," 57"," 60","   0.887","   0.291","   0.081","  28.000","  500","    0"
"13:29:20:079","65981720812791","   0.301","  23.501"," 1691"," 1200"," 2800"," 1682","   3.265","   1.731","   0.481","   1.869","   1.155","   0.321"," 58","0"," 57"," 58","   0.809","   0.372","   0.103","  28.000","  500","    0"
"13:29:20:180","65981993856672","   0.402","  18.670"," 1613"," 1200"," 2800"," 1610","   2.843","   2.018","   0.561","   1.422","   1.298","   0.361"," 58","0"," 57"," 58","   0.783","   0.451","   0.125","  28.000","  500","    0"
"13:29:20:280","65982264018015","   0.503","  13.434"," 1916"," 1200"," 3000"," 1930","   2.782","   2.297","   0.638","   1.467","   1.445","   0.401"," 60","0"," 56"," 60","   0.723","   0.523","   0.145","  28.000","  500","    0"
"13:29:20:380","65982534372066","   0.603","  57.101"," 2792"," 1500"," 3100"," 2816","  13.396","   3.638","   1.011","  11.052","   2.552","   0.709"," 62","0"," 59"," 66","   1.948","   0.718","   0.200","  28.000","  550","    0"
"13:29:20:481","65982804985662","   0.703","  21.517"," 1820"," 1200"," 2800"," 1816","   4.539","   4.093","   1.137","   2.569","   2.809","   0.780"," 60","0"," 57"," 64","   0.969","   0.815","   0.226","  28.000","  500","    0"
"13:29:20:582","65983078037850","   0.804","   8.507"," 1478"," 1200"," 1700"," 1479","   2.343","   4.330","   1.203","   0.675","   2.878","   0.799"," 58","0"," 57"," 60","   0.540","   0.870","   0.242","  28.000","  500","    0"
"13:29:20:683","65983351070578","   0.905","   4.351"," 1348"," 1200"," 1700"," 1339","   1.233","   4.455","   1.237","   0.284","   2.906","   0.807"," 57","0"," 56"," 57","   0.511","   0.922","   0.256","  28.000","  500","    0"
"13:29:20:783","65983621136804","   1.005","   7.353"," 1420"," 1200"," 2800"," 1422","   1.463","   4.601","   1.278","   0.535","   2.960","   0.822"," 57","0"," 56"," 57","   0.527","   0.974","   0.271","  28.000","  500","    0"
"13:29:20:884","65983894162137","   1.106","   5.333"," 1369"," 1200"," 1700"," 1366","   1.297","   4.732","   1.314","   0.350","   2.995","   0.832"," 57","0"," 56"," 57","   0.511","   1.026","   0.285","  28.000","  500","    0"
"13:29:20:984","65984164562107","   1.206","   5.319"," 1300"," 1200"," 1400"," 1300","   1.318","   4.864","   1.351","   0.345","   3.030","   0.842"," 57","0"," 56"," 57","   0.518","   1.078","   0.299","  28.000","  500","    0"
"13:29:21:085","65984437685241","   1.308","  11.284"," 1840"," 1200"," 2800"," 1851","   2.707","   5.138","   1.427","   1.365","   3.168","   0.880"," 57","0"," 56"," 61","   0.733","   1.152","   0.320","  28.000","  500","    0"
"13:29:21:185","65984708233516","   1.408","   5.889"," 1425"," 1200"," 1900"," 1424","   1.356","   5.274","   1.465","   0.405","   3.208","   0.891"," 57","0"," 56"," 57","   0.536","   1.206","   0.335","  28.000","  500","    0"
"13:29:21:286","65984978442621","   1.508","  11.720"," 1871"," 1200"," 3100"," 1891","   2.645","   5.538","   1.538","   1.492","   3.358","   0.933"," 63","0"," 56"," 63","   0.617","   1.267","   0.352","  28.000","  500","    0"
"13:29:21:386","65985248851444","   1.608","   9.583"," 2118"," 1200"," 3100"," 2116","   3.894","   5.928","   1.647","   1.900","   3.548","   0.986"," 57","0"," 56"," 63","   0.926","   1.360","   0.378","  28.000","  850","    0"
"13:29:21:487","65985521915965","   1.709","   6.167"," 1451"," 1200"," 1700"," 1450","   1.625","   6.093","   1.692","   0.511","   3.599","   1.000"," 57","0"," 56"," 57","   0.543","   1.415","   0.393","  28.000","  850","    0"
"13:29:21:588","65985794647869","   1.810","  27.464"," 2823"," 1200"," 3100"," 2836","   8.697","   6.971","   1.936","   7.151","   4.322","   1.201"," 65","0"," 56"," 66","   1.026","   1.519","   0.422","  28.000","  800","  800"
"13:29:21:688","65986065093603","   1.910","  31.477"," 3091"," 2900"," 3100"," 3100","  11.118","   8.085","   2.246","   9.486","   5.272","   1.464"," 64","0"," 59"," 67","   1.161","   1.635","   0.454","  28.000","  650","  650"
"13:29:21:789","65986337849085","   2.011","  26.905"," 3100"," 3000"," 3100"," 3100","  10.231","   9.118","   2.533","   8.619","   6.143","   1.706"," 69","0"," 60"," 71","   0.740","   1.710","   0.475","  28.000","  650","  650"
"13:29:21:890","65986609980231","   2.112","  27.111"," 3100"," 3000"," 3100"," 3100","  10.363","  10.163","   2.823","   8.755","   7.025","   1.951"," 69","0"," 60"," 70","   0.695","   1.780","   0.494","  28.000","  650","  650"
"13:29:21:991","65986883003919","   2.213","  26.827"," 3100"," 3000"," 3100"," 3100","  10.231","  11.197","   3.110","   8.618","   7.897","   2.193"," 67","0"," 60"," 71","   0.703","   1.851","   0.514","  28.000","  650","  650"
"13:29:22:092","65987155762341","   2.314","  30.748"," 3100"," 3000"," 3100"," 3100","  11.168","  12.326","   3.424","   9.535","   8.860","   2.461"," 70","0"," 61"," 71","   0.856","   1.937","   0.538","  28.000","  550","  550"
