"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"13:14:17:868","63545761294757","   0.000","  27.122"," 2428"," 1200"," 3100"," 2436","   5.666","   0.569","   0.158","   4.135","   0.415","   0.115"," 59","0"," 57"," 66","   1.073","   0.108","   0.030","  28.000","  500","    0"
"13:14:17:968","63546031437591","   0.100","  27.134"," 1732"," 1200"," 2800"," 1738","   3.799","   0.949","   0.264","   2.183","   0.634","   0.176"," 59","0"," 58"," 61","   0.881","   0.196","   0.054","  28.000","  500","    0"
"13:14:18:069","63546302217882","   0.200","  18.204"," 1771"," 1200"," 2800"," 1779","   3.031","   1.253","   0.348","   1.672","   0.801","   0.223"," 58","0"," 58"," 61","   0.793","   0.275","   0.077","  28.000","  500","    0"
"13:14:18:168","63546572381166","   0.300","   4.165"," 1355"," 1200"," 1800"," 1351","   1.266","   1.380","   0.383","   0.281","   0.829","   0.230"," 58","0"," 57"," 59","   0.534","   0.329","   0.091","  28.000","  500","    0"
"13:14:18:269","63546842885192","   0.400","  10.028"," 1540"," 1200"," 2700"," 1557","   1.782","   1.558","   0.433","   0.751","   0.905","   0.251"," 58","0"," 57"," 58","   0.568","   0.386","   0.107","  28.000","  500","    0"
"13:14:18:369","63547114073121","   0.501","  29.993"," 2359"," 1200"," 3100"," 2372","   7.044","   2.266","   0.629","   5.187","   1.426","   0.396"," 59","0"," 58"," 64","   1.261","   0.512","   0.142","  28.000","  850","    0"
"13:14:18:469","63547384228488","   0.601","  25.257"," 1765"," 1200"," 2800"," 1758","   3.572","   2.623","   0.729","   2.177","   1.643","   0.457"," 59","0"," 58"," 61","   0.859","   0.598","   0.166","  28.000","  850","    0"
"13:14:18:569","63547654524738","   0.701","  23.539"," 1594"," 1200"," 2700"," 1593","   3.057","   2.929","   0.814","   1.653","   1.809","   0.502"," 59","0"," 58"," 59","   0.806","   0.679","   0.189","  28.000","  850","    0"
"13:14:18:669","63547924860564","   0.801","  24.509"," 1716"," 1200"," 2800"," 1717","   3.388","   3.268","   0.908","   1.999","   2.009","   0.558"," 59","0"," 58"," 60","   0.825","   0.762","   0.212","  28.000","  850","    0"
"13:14:18:770","63548197837288","   0.902","  24.131"," 1640"," 1200"," 2800"," 1637","   3.212","   3.593","   0.998","   1.785","   2.190","   0.608"," 59","0"," 58"," 59","   0.832","   0.846","   0.235","  28.000","  850","    0"
